한국어	English
이 결말의 선택입니다. 확정 전에는 다른 카드를 고를 수 있습니다.	This choice determines the ending. You may change cards before confirming.
세 명령의 보존과 상실을 읽고 카드를 고르십시오.	Read what each command keeps and loses, then choose a card.
복구 시도 중단 / 외부 연결 유지	RECOVERY ATTEMPT STOPPED / EXTERNAL LINK ACTIVE
시스템: 외부 연결 유지. 복구 기록 보존.	System: External link active. Recovery records preserved.
로그의 음성 채널에서는 아무 말도 들리지 않는다.	Nothing comes through Rogue's voice channel.
로그: 돌아왔구나. 복구한 곳은 그대로야.	Rogue: You're back. The drives we restored are still there.
로그: 이번엔 조금 천천히 가자.	Rogue: Let's take it a little slower this time.
로그: 연결은 살아 있어요. 여기서 다시 시작해요.	Rogue: The link is alive. We can start again from here.
로그: 복구한 드라이브는 사라지지 않아요.	Rogue: The restored drives aren't going anywhere.
다시 연결하기 · 스페이스	Reconnect / SPACE
안전했던 처음으로. 같은 규칙은 남았다.	Back to a safer beginning. The same policy remains.
곁에 남기로 했다. 아직 돌아간 것은 아니다.	You chose to stay together. You have not returned.
처음의 나 대신, 함께한 시간을 데리고 돌아왔다.	You returned with the time you shared, instead of the self you used to be.
로그: 아직 여기 있네.	Rogue: You're still here.
로그. 좋아하는 숫자는 3. _	Rogue. Favorite number: 3. _
기록 다시 탐색 [ENTER]	Explore records [ENTER]
여섯 볼륨을 복구해 마지막 A를 엽니다. 각 볼륨은 3층이며, 실패해도 완료한 볼륨과 로그와의 대화는 남습니다.	Restore six volumes to unlock A. Each has three floors. Completed volumes and your conversations with Rogue survive a failed run.
다음 대사 [ENTER]	Next line [ENTER]
로그	Rogue
시스템	System
배치	Place
예측 확인	Check forecast
결과	Result
실습 안내	Training guide
다시 판독	Read again
연쇄 배치	Place CHAIN
연쇄 실행	Execute CHAIN
